Instrument Name,SDS2352X-E
Serial Number,SDS2EBAC3R0176
Software Version,2.1.1.1.20 R7
Awg Type,USB
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,6V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,50ohm
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,100000Hz
Stop Frequency,1000000Hz
Sweep Line,50
Sweep Log(dec),498
Amplitude Mode,Vout/Vin
Amplitude Axis Type,Logarithmic
Amplitude Axis Range,-34dB,6dB
Phase Unit,Degree
Phase Axis Range,-210Deg,150Deg
Bode Data
Number of Points,499
Frequency(Hz),CH2 Amplitude(dB),CH2 Phase(Deg)
100000,-10.6646236,-0.222515389
100463.437,-10.6558067,-0.238839055
100929.022,-10.6522873,-0.214959761
101396.764,-10.6416036,-0.2203426
101866.674,-10.6336121,-0.215036992
102338.762,-10.6243875,-0.240295505
102813.038,-10.6218823,-0.22961815
103289.512,-10.604476,-0.251315817
103768.194,-10.5974463,-0.261308018
104249.094,-10.5864265,-0.269121931
104732.223,-10.5848452,-0.305430835
105217.591,-10.5729216,-0.293759061
105705.208,-10.564781,-0.277413809
106195.085,-10.5298644,-0.271382844
106687.233,-10.5223359,-0.280316366
107181.661,-10.5101105,-0.317251992
107678.38,-10.5054003,-0.269597631
108177.402,-10.4943689,-0.3232621
108678.736,-10.4869836,-0.318074125
109182.393,-10.4778801,-0.348626758
109688.385,-10.4677069,-0.293372367
110196.722,-10.4556243,-0.320146429
110707.414,-10.4377232,-0.343614154
111220.473,-10.4306225,-0.33744533
111735.91,-10.4189392,-0.359254553
112253.736,-10.4000761,-0.352405235
112773.961,-10.3931579,-0.345766584
113296.598,-10.379158,-0.395756976
113821.656,-10.3706309,-0.361944464
114349.148,-10.3538778,-0.394851512
114879.084,-10.3401287,-0.390270499
115411.476,-10.3349487,-0.432160452
115946.336,-10.3129065,-0.419531882
116483.674,-10.3096778,-0.421379821
117023.503,-10.2893862,-0.43032992
117565.833,-10.2779923,-0.449238482
118110.676,-10.2607684,-0.490037605
118658.045,-10.243329,-0.463157614
119207.95,-10.2211697,-0.501220654
119760.404,-10.2128048,-0.487243997
120315.418,-10.1960886,-0.4884662
120873.004,-10.1788424,-0.484971903
121433.175,-10.1555374,-0.531114614
121995.941,-10.145287,-0.522013389
122561.315,-10.1337381,-0.581168452
123129.31,-10.1029368,-0.606178053
123699.937,-10.0859465,-0.581122901
124273.208,-10.0750975,-0.556328468
124849.136,-10.0537777,-0.59452069
125427.733,-10.0409134,-0.621785035
126009.012,-10.0162384,-0.634319183
126592.984,-9.99017367,-0.653407148
127179.663,-9.97183615,-0.646910985
127769.061,-9.95394752,-0.698691542
128361.19,-9.93806113,-0.709417508
128956.063,-9.9194763,-0.708654561
129553.694,-9.89293872,-0.722726303
130154.093,-9.86940967,-0.766131011
130757.276,-9.84318167,-0.731976946
131363.253,-9.8177477,-0.798359868
131972.039,-9.78659816,-0.815426792
132583.647,-9.77149159,-0.815874473
133198.088,-9.72718711,-0.848125915
133815.378,-9.70609855,-0.881243726
134435.528,-9.67422278,-0.89415058
135058.552,-9.63972506,-0.940371048
135684.463,-9.6074547,-0.969230255
136313.275,-9.57569445,-0.989800799
136945.001,-9.53951038,-1.02612812
137579.655,-9.50082057,-1.05792474
138217.25,-9.46406702,-1.08283439
138857.8,-9.42168011,-1.09088127
139501.319,-9.39437557,-1.1438034
140147.82,-9.34322657,-1.22122743
140797.316,-9.29788632,-1.23924713
141449.823,-9.26029808,-1.30789887
142105.354,-9.20626995,-1.34728884
142763.923,-9.1565794,-1.37265619
143425.544,-9.11392976,-1.40573694
144090.231,-9.06764318,-1.46288079
144757.999,-9.01419881,-1.50811799
145428.861,-8.96822157,-1.55283493
146102.832,-8.90937553,-1.59679603
146779.927,-8.85459332,-1.69532341
147460.159,-8.78952066,-1.73366109
148143.544,-8.72412484,-1.78562506
148830.096,-8.64751363,-1.88104622
149519.83,-8.58142397,-1.95890459
150212.76,-8.50466168,-2.02641575
150908.902,-8.43335499,-2.11908775
151608.27,-8.34876953,-2.19303203
152310.879,-8.27137889,-2.281283
153016.744,-8.18844493,-2.43212447
153725.88,-8.09609452,-2.51706426
154438.303,-8.00895619,-2.63706838
155154.027,-7.9092112,-2.77769043
155873.068,-7.8126167,-2.88916435
156595.442,-7.7038821,-2.99183527
157321.163,-7.57846369,-3.21606523
158050.248,-7.45503202,-3.30950017
158782.711,-7.32425995,-3.52565702
159518.569,-7.18409492,-3.77400391
160257.837,-7.04688249,-3.97843785
161000.531,-6.89460275,-4.18225019
161746.667,-6.72677347,-4.47966492
162496.261,-6.58816712,-4.70221746
163249.329,-6.37025462,-5.03421613
164005.887,-6.16645463,-5.42521589
164765.951,-5.95211859,-5.81458771
165529.538,-5.72308599,-6.24764749
166296.663,-5.49797503,-6.7107386
167067.343,-5.29587078,-7.17349618
167841.595,-5.00771224,-7.7425869
168619.435,-4.68816985,-8.48096066
169400.88,-4.34533585,-9.27898219
170185.947,-4.02208948,-10.1386432
170974.651,-3.60444937,-11.2527176
171767.011,-3.19924326,-12.4467449
172563.043,-2.69889767,-13.9981139
173362.764,-2.1305342,-15.9171705
174166.192,-1.5770262,-17.9786877
174973.342,-0.953552146,-20.6206175
175784.234,-0.238995846,-23.9782675
176598.883,0.584697309,-28.5065257
177417.307,1.52736379,-34.7304131
178239.525,2.48617736,-42.9015616
179065.553,3.2876728,-53.115074
179895.409,3.8165231,-66.2962187
180729.111,3.82160127,-81.4296771
181566.677,3.17398522,-96.8527561
182408.124,2.00602518,-110.227719
183253.471,0.463980759,-120.896631
184102.735,-1.09490195,-128.806593
184955.936,-2.73249934,-134.723487
185813.09,-4.24401923,-139.078903
186674.217,-5.74607632,-142.341165
187539.334,-7.1119135,-144.77707
188408.461,-8.51789775,-146.622775
189281.615,-9.87988269,-148.03816
190158.817,-11.2023761,-148.941952
191040.083,-12.512181,-149.506398
191925.433,-13.785566,-149.659375
192814.887,-15.1102882,-149.655923
193708.463,-16.412303,-148.964465
194606.179,-17.7576848,-148.273998
195508.057,-19.1902909,-146.860825
196414.113,-20.6240486,-145.224415
197324.369,-22.1617873,-142.558427
198238.843,-23.7344074,-139.21416
199157.556,-25.4220211,-134.283506
200080.525,-27.1890047,-127.649839
