Instrument Name,SDS2352X-E
Serial Number,SDS2EBAC3R0176
Software Version,2.1.1.1.20 R7
Awg Type,USB
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,6V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,50ohm
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,10000Hz
Stop Frequency,1000000Hz
Sweep Line,50
Sweep Log(dec),114
Amplitude Mode,Vout/Vin
Amplitude Axis Type,Logarithmic
Amplitude Axis Range,-36dB,124dB
Phase Unit,Degree
Phase Axis Range,-180Deg,180Deg
Bode Data
Number of Points,229
Frequency(Hz),CH2 Amplitude(dB),CH2 Phase(Deg)
10000,54.4916978,89.3649202
10204.0348,54.6684275,89.3844439
10412.2326,54.884338,89.3933141
10624.6783,55.0468207,89.3978937
10841.4587,55.2413025,89.3873402
11062.6621,55.3980606,89.4015157
11288.3789,55.5956173,89.4185847
11518.7011,55.769951,89.4030904
11753.7227,55.951312,89.358325
11993.5395,56.1168801,89.4062909
12238.2494,56.3050483,89.4036422
12487.9522,56.4840776,89.4065398
12742.7499,56.6603627,89.4409781
13002.7463,56.8455469,89.4401287
13268.0475,57.0198976,89.4298511
13538.7618,57.2383571,89.4554871
13814.9996,57.4269117,89.4416837
14096.8736,57.6278404,89.4373274
14384.4989,57.7950524,89.4976985
14677.9927,57.9724482,89.4232983
14977.4748,58.1788869,89.473854
15283.0673,58.3800969,89.4617735
15594.895,58.5892283,89.4623451
15913.0851,58.7178385,89.4747091
16237.7674,58.9665169,89.4593643
16569.0743,59.1048622,89.4621037
16907.141,59.347444,89.4975491
17252.1055,59.511678,89.4963945
17604.1084,59.7536054,89.5048243
17963.2935,59.9357476,89.5067866
18329.8071,60.0763335,89.526376
18703.7989,60.280208,89.5070112
19085.4214,60.477854,89.4820952
19474.8304,60.6651354,89.5294918
19872.1847,60.8528699,89.5091374
20277.6463,61.0685869,89.5410665
20691.3808,61.2746027,89.5159325
21113.5569,61.4818276,89.5262765
21544.3469,61.6684034,89.5298755
21983.9265,61.9188697,89.5241626
22432.475,62.1130796,89.5157233
22890.1755,62.3038741,89.5545253
23357.2147,62.5396628,89.5402988
23833.7831,62.7488587,89.5328371
24320.0751,62.9139389,89.5566579
24816.2892,63.1099411,89.4950378
25322.6278,63.3457736,89.5106151
25839.2975,63.6206355,89.5152727
26366.509,63.7709068,89.5047844
26904.4774,64.0022126,89.5562466
